Course,Enrollment Date (UTC TimeZone),Started Date (UTC TimeZone),Completion Date (UTC TimeZone),Status,Progress %,Time Spent(minutes),Quiz_score,Centre Number,Centre Country,Completion Comment
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,,,
Exams Officer UK Webinar - May 1st 2025,4/28/25 8:58,,,Not Started,0,0,,13261,UK,
Centre Declaration of Interest,9/27/24 12:15,9/27/24 12:15,9/27/24 12:15,Completed,100,10.37,,22158,UK,
Recording of Exams Officer UK Webinar - September 2024,9/27/24 12:27,9/27/24 12:27,9/27/24 13:11,Completed,100,54.82,,22158,UK,
Recording of the Exams Officer UK Webinar - 13 February 2025,1/28/25 15:34,,,Not Started,0,0,,22158,UK,
Exams Officer UK Webinar - 16 January 2025,1/9/25 12:43,1/16/25 14:00,1/16/25 15:00,Completed,100,60,,52348,UK,attended live event
Recording of Exams Officer UK Webinar - September 2024,1/9/25 12:44,1/9/25 12:44,,In Progress,0,3.87,,52348,UK,
Centre Declaration of Interest,10/31/24 10:21,10/31/24 10:21,10/31/24 10:21,Completed,100,17.55,,25112,UK,
BTEC Bitesize: Entries & External Assessments (2024/25),2/13/25 14:09,,,Not Started,0,0,,28272,UK,
BTEC Bitesize: Intro to BTEC (2024/25),2/13/25 14:09,,,Not Started,0,0,,28272,UK,
BTEC Bitesize: Registrations (2024/25),2/13/25 14:09,,,Not Started,0,0,,28272,UK,
VQ Learner Tracker and Claims Webinar,2/13/25 14:10,,,Not Started,0,0,,28272,UK,
Welcome to Pearson - New to role Exams Officer ,5/6/25 13:05,5/6/25 13:05,,In Progress,0,0,,27208,UK,
Exams Officer UK Webinar - April 3rd 2025,3/4/25 11:21,4/30/25 10:37,4/30/25 10:39,Completed,100,2.48,6,34718,UK,
Exams Officer UK Webinar - May 1st 2025,4/30/25 10:36,,,Not Started,0,0,,34718,UK,
Exams Officer UK Webinar - October 17 2024,10/2/24 8:36,10/17/24 13:00,10/17/24 14:00,Completed,100,60,,53821,UK,
Centre Declaration of Interest,3/18/25 13:38,3/18/25 13:38,3/18/25 13:38,Completed,100,29.32,,35408,UK,
BTEC Tech Awards - understanding the terminal rule and certification,1/13/25 9:09,1/13/25 9:08,1/13/25 9:08,Completed,100,127.17,,47503,UK,
Exams Officer UK Webinar - 16 January 2025,1/9/25 14:30,1/16/25 14:00,1/16/25 15:00,Completed,100,60,,47503,UK,attended live event
Exams Officer UK Webinar - April 3rd 2025,3/21/25 9:42,4/3/25 13:43,4/3/25 13:44,Completed,100,2.03,7,47503,UK,
Exams Officer UK Webinar - March 13 2025,2/27/25 15:03,,,Not Started,0,0,,47503,UK,
GQ Bitesize (UK) Question Paper Security 2024/2025,1/13/25 9:08,,,Not Started,0,0,,47503,UK,
Recording of Exams Officer UK Webinar - March 13 2025,4/23/25 14:50,4/23/25 14:49,4/23/25 14:49,Completed,100,0.43,,47503,UK,
Recording of the Exams Officer UK Webinar - 13 February 2025,2/12/25 15:35,2/13/25 14:00,2/13/25 15:00,Completed,0,60,,47503,UK,
Welcome to Pearson - New to role Exams Officer ,1/13/25 8:36,1/13/25 8:35,1/13/25 8:58,Completed,100,333.95,,47503,UK,
Exams Officer UK Webinar - November 14 2024,9/30/24 11:34,,,Not Started,0,0,,18151,UK,
Exams Officer UK Webinar - May 1st 2025,4/28/25 8:38,,,Not Started,0,0,,48103,UK,
Exams Officer UK Webinar - 12 December 2024,11/5/24 12:23,,,Not Started,0,0,,16331,UK,
Exams Officer UK Webinar - November 14 2024,11/5/24 12:21,11/14/24 14:00,11/14/24 15:00,Completed,100,60,,16331,UK,
Exams Officer UK Webinar - September 26 2024,9/25/24 10:33,9/26/24 13:00,9/26/24 14:00,Completed,100,60,,16331,UK,
Exams Officer UK Webinar - 12 December 2024,11/25/24 15:43,12/12/24 14:00,12/12/24 15:00,Completed,100,60,,33715,UK,
Recording of Understanding Modular Cash in Codes and Entries for Pearson International GCSE Live event,5/9/25 15:35,5/9/25 15:35,5/9/25 16:00,Completed,100,67.02,6,97786,Saudi Arabia,
Understanding Modular Cash in Codes and Entries for Pearson International GCSE,5/1/25 16:30,,,Not Started,0,0,,97786,Saudi Arabia,
Welcome to Pearson - New to role Exams Officer ,3/26/25 11:45,3/26/25 11:45,3/26/25 12:15,Completed,100,154.68,,97786,Saudi Arabia,
Exams Officer UK Webinar - 12 December 2024,11/5/24 12:40,,,Not Started,0,0,,10782,UK,
Exams Officer UK Webinar - May 1st 2025,4/28/25 14:13,,,Not Started,0,0,,29370,UK,
Exams Officer UK Webinar - September 26 2024,9/26/24 8:23,9/26/24 13:00,9/26/24 14:00,Completed,100,60,,17649,UK,
Welcome to Pearson - New to role Exams Officer ,9/27/24 12:49,9/27/24 12:49,,In Progress,0,2,,33637,UK,
Exams Officer UK Webinar - May 1st 2025,4/28/25 13:57,,,Not Started,0,0,,37603,UK,
GQ Bitesize (UK) Entries  2024/2025,1/15/25 12:18,1/20/25 15:05,1/20/25 15:18,Completed,100,12.92,30,31060,UK,
Exams Officer UK Webinar - 12 December 2024,11/25/24 16:08,,,Not Started,0,0,,72995,UK,
VQ Learner Tracker - How to use the VQ LT and make entries,3/27/25 13:27,3/27/25 13:27,3/27/25 13:27,Completed,100,0.05,,44171,UK,
Centre Declaration of Interest,10/24/24 8:29,,,Not Started,0,0,,27172,UK,
Welcome to Pearson - New to role Exams Officer ,9/17/24 13:45,9/17/24 13:45,,In Progress,0,0,,20669,UK,
Cohort Declaration walkthrough,1/24/25 10:28,1/24/25 10:28,,In Progress,50,11.2,,26226,UK,
VQ Learner Tracker and Claims Webinar,1/24/25 10:26,1/24/25 10:26,1/24/25 10:26,Completed,100,0.7,,26226,UK,
GQ Bitesize (UK) NEA Mark Submission 2024/2025,10/31/24 12:41,,,Not Started,0,0,,,UK,
Recording of Exams Officer UK Webinar - September 2024,10/1/24 12:17,10/1/24 12:17,,In Progress,0,0.32,,34607,UK,
Exams Officer UK Webinar - October 17 2024,10/10/24 6:53,,,Not Started,0,0,,34767,UK,
Welcome to Pearson - New to role Exams Officer ,10/10/24 14:54,10/10/24 14:54,,In Progress,0,0,,34767,UK,
BTEC Tech Award  - Understanding the terminal rule,1/14/25 9:53,1/14/25 9:53,1/14/25 9:53,Completed,100,0.37,,57015,UK,
Recording of Exams Officer UK Webinar - December 2024,1/14/25 9:52,1/14/25 9:52,,In Progress,0,0.22,,57015,UK,
Recording of Exams Officer UK Webinar - November 2024,1/14/25 9:53,1/14/25 9:53,,In Progress,0,0.08,,57015,UK,
Centre Declaration of Interest,3/12/25 14:05,3/12/25 14:05,3/12/25 14:05,Completed,100,25.83,,64310,UK,
Exams Officer UK Webinar - May 1st 2025,4/28/25 10:14,,,Not Started,0,0,,29301,UK,
Centre Declaration of Interest,9/23/24 13:23,9/23/24 13:23,9/23/24 13:23,Completed,100,16.53,,42355,UK,
BTEC Tech Awards - understanding the terminal rule and certification,9/26/24 7:40,9/26/24 7:40,9/26/24 7:40,Completed,100,0.05,,58809,UK,
Centre Declaration of Interest,10/24/24 8:05,10/24/24 8:05,10/24/24 8:05,Completed,100,12,,58809,UK,
Exams Officer UK Webinar - 12 December 2024,9/26/24 7:37,12/12/24 14:00,12/12/24 15:00,Completed,100,60,,58809,UK,
Exams Officer UK Webinar - April 3rd 2025,3/19/25 8:45,4/3/25 13:42,4/3/25 13:44,Completed,100,0,9,58809,UK,
Exams Officer UK Webinar - March 13 2025,1/21/25 10:17,,,Not Started,0,0,,58809,UK,
Exams Officer UK Webinar - November 14 2024,9/26/24 7:41,11/14/24 14:00,11/14/24 15:00,Completed,100,60,,58809,UK,
Exams Officer UK Webinar - October 17 2024,9/26/24 7:10,10/17/24 13:00,10/17/24 14:00,Completed,100,60,,58809,UK,
Exams Officer UK Webinar - September 26 2024,9/26/24 7:11,,,Not Started,0,0,,58809,UK,
Recording of Exams Officer UK Webinar - January 2025,1/21/25 10:18,1/21/25 10:18,,In Progress,0,0.38,,58809,UK,
Recording of Exams Officer UK Webinar - September 2024,10/1/24 8:54,10/1/24 8:54,10/1/24 9:31,Completed,100,59,,58809,UK,
Recording of the Exams Officer UK Webinar - 13 February 2025,1/28/25 14:31,2/13/25 14:00,2/13/25 15:00,Completed,0,60,,58809,UK,
ResultsPlus: Accessing individual student results,10/1/24 8:52,10/1/24 8:52,10/1/24 8:53,Completed,100,2.1,,58809,UK,
Welcome to Pearson - New to role Exams Officer ,9/26/24 7:13,9/26/24 7:13,9/26/24 7:35,Completed,100,83.81,,58809,UK,
Exams Officer UK Webinar - November 14 2024,11/5/24 13:12,,,Not Started,0,0,,61517,UK,
Recording of the Exams Officer UK Webinar - 13 February 2025,1/27/25 13:36,2/13/25 14:00,2/13/25 15:00,Completed,0,60,,17267,UK,
BTEC Tech Award  - Understanding the terminal rule,1/14/25 8:58,,,Not Started,0,0,,41275,UK,
Exams Officer UK Webinar - 16 January 2025,1/14/25 9:00,1/16/25 14:00,1/16/25 15:00,Completed,100,60,,41275,UK,attended live event
Recording of Exams Officer UK Webinar - December 2024,1/14/25 8:58,,,Not Started,0,0,,41275,UK,
Recording of Exams Officer UK Webinar - November 2024,1/14/25 8:59,,,Not Started,0,0,,41275,UK,
Welcome to Pearson - New to role Exams Officer ,1/14/25 9:02,1/14/25 9:02,,In Progress,0,0.08,,41275,UK,
Welcome to Pearson - New to role Exams Officer ,11/4/24 13:48,11/4/24 13:48,11/20/24 13:36,Completed,100,1136.65,,55202,UK,
Exams Officer UK Webinar - 12 December 2024,9/25/24 14:06,,,Not Started,0,0,,58401,UK,
Exams Officer UK Webinar - 16 January 2025,1/9/25 13:33,1/16/25 14:00,1/16/25 15:00,Completed,100,60,,58401,UK,attended live event
Exams Officer UK Webinar - April 3rd 2025,4/1/25 7:48,,,Not Started,0,0,,58401,UK,
Exams Officer UK Webinar - March 13 2025,2/28/25 8:46,,,Not Started,0,0,,58401,UK,
Exams Officer UK Webinar - November 14 2024,9/25/24 14:06,,,Not Started,0,0,,58401,UK,
Exams Officer UK Webinar - October 17 2024,9/25/24 14:06,10/17/24 13:00,10/17/24 14:00,Completed,100,60,,58401,UK,
Exams Officer UK Webinar - September 26 2024,9/25/24 14:05,9/26/24 13:00,9/26/24 14:00,Completed,100,60,,58401,UK,
Recording of the Exams Officer UK Webinar - 13 February 2025,2/13/25 14:04,2/13/25 14:00,2/13/25 15:00,Completed,0,60,,58401,UK,
Learner Work Transfer - January 2024 Session ,12/10/24 10:38,12/10/24 10:38,,In Progress,33.33,66.85,,16423,UK,
Welcome to Pearson - New to role Exams Officer ,12/10/24 10:23,12/10/24 10:23,12/10/24 10:34,Completed,100,41.559999999999995,,16423,UK,
Recording of the Exams Officer UK Webinar - 13 February 2025,1/29/25 14:33,,,Not Started,0,0,,17314,UK,
Recording of International Exams Officer Webinar - January 31st  2024,3/18/24 12:23,3/18/24 12:23,,In Progress,0,323.65,,90681,Egypt,
Understanding Modular Cash in Codes and Entries for Pearson International GCSE,5/5/25 15:46,,,Not Started,0,0,,90681,Egypt,
BTEC cohort declaration and VQ Learner Tracker Recording December 24,1/28/25 14:56,1/28/25 14:56,1/28/25 14:56,Completed,100,62.8,,37685,UK,
Centre Declaration of Interest,9/25/24 14:21,9/25/24 14:21,9/25/24 14:21,Completed,100,18.98,,37685,UK,
Exams Officer UK Webinar - 12 December 2024,10/10/24 7:30,12/12/24 14:00,12/12/24 15:00,Completed,100,60,,37685,UK,
Exams Officer UK Webinar - April 3rd 2025,4/3/25 8:18,,,Not Started,0,0,,37685,UK,
Exams Officer UK Webinar - March 13 2025,1/28/25 15:32,,,Not Started,0,0,,37685,UK,
Exams Officer UK Webinar - November 14 2024,10/10/24 7:30,11/14/24 14:00,11/14/24 15:00,Completed,100,60,,37685,UK,
Exams Officer UK Webinar - October 17 2024,10/1/24 9:37,,,Not Started,0,0,,37685,UK,
Exams Officer UK Webinar - September 26 2024,9/20/24 7:42,9/26/24 13:00,9/26/24 14:00,Completed,100,60,,37685,UK,
Welcome to Pearson - New to role Exams Officer ,10/1/24 9:47,10/1/24 9:47,10/1/24 10:19,Completed,100,128.38,,37685,UK,
BTEC cohort declaration and VQ Learner Tracker Recording December 24,1/29/25 13:32,1/29/25 13:32,1/29/25 13:32,Completed,100,157.3,,46619,UK,
Exams Officer UK Webinar - 16 January 2025,1/13/25 7:58,,,Not Started,0,0,,32165,UK,
GQ Bitesize (UK) Access Arrangements  2024/2025,4/14/25 10:09,4/14/25 10:09,,In Progress,0,14.25,0,32165,UK,
Cohort Declaration walkthrough,1/9/25 13:19,1/9/25 13:19,,In Progress,50,61.85,,18529,UK,
Recording of Exams Officer UK Webinar - September 2024,10/9/24 8:23,10/9/24 8:23,10/9/24 9:09,Completed,100,82.77,,18529,UK,
Recording of the Exams Officer UK Webinar - 13 February 2025,3/12/25 10:09,3/12/25 10:09,,In Progress,0,112.52,,18529,UK,
Welcome to Pearson - New to role Exams Officer ,10/9/24 10:03,10/9/24 10:03,10/9/24 10:21,Completed,100,205.46,,18529,UK,
Exams Officer UK Webinar - 12 December 2024,10/10/24 7:48,,,Not Started,0,0,,28276,UK,
Exams Officer UK Webinar - November 14 2024,10/10/24 7:48,,,Not Started,0,0,,28276,UK,
Exams Officer UK Webinar - October 17 2024,10/10/24 7:46,10/17/24 13:00,10/17/24 14:00,Completed,100,60,,28276,UK,
Exams Officer UK Webinar - September 26 2024,9/26/24 8:21,9/26/24 13:00,9/26/24 14:00,Completed,100,60,,28276,UK,
Exams Officer UK Webinar - 16 January 2025,1/9/25 12:32,1/16/25 14:00,1/16/25 15:00,Completed,100,60,,30101,UK,attended live event
Exams Officer UK Webinar - 12 December 2024,11/25/24 8:48,,,Not Started,0,0,,25331,UK,
Centre Declaration of Interest,11/4/24 8:08,11/4/24 8:08,11/4/24 8:08,Completed,100,12.4,,61367,UK,
Exams Officer UK Webinar - November 14 2024,11/7/24 8:43,11/14/24 14:00,11/14/24 15:00,Completed,100,60,,61593,UK,
Exams Officer UK Webinar - November 14 2024,11/5/24 16:48,11/14/24 14:00,11/14/24 15:00,Completed,100,60,,32062,UK,
Centre Declaration of Interest,9/19/24 12:52,9/19/24 12:52,9/19/24 12:52,Completed,100,47.62,,48335,UK,
Cohort Declaration walkthrough,1/22/25 11:32,1/22/25 11:32,,In Progress,50,21.8,0,48335,UK,
Recording of Exams Officer UK Webinar - January 2025,1/22/25 11:27,1/22/25 11:27,,In Progress,0,3.28,,48335,UK,
Exams Officer UK Webinar - May 1st 2025,4/28/25 9:01,,,Not Started,0,0,,46649,UK,
Understanding Modular Cash in Codes and Entries for Pearson International GCSE,4/29/25 10:47,,,Not Started,0,0,,94833,China,
Recording of the Exams Officer UK Webinar - 13 February 2025,1/31/25 14:01,2/13/25 14:00,2/13/25 15:00,Completed,0,60,,27170,UK,
BTEC cohort declaration and VQ Learner Tracker Recording December 24,1/29/25 12:20,1/29/25 12:20,1/29/25 12:20,Completed,100,27,,17209,UK,
Exams Officer UK Webinar - November 14 2024,11/6/24 11:44,,,Not Started,0,0,,17209,UK,
Exams Officer UK Webinar - October 17 2024,10/9/24 14:48,,,Not Started,0,0,,55139,UK,
Exams Officer UK Webinar - May 1st 2025,4/28/25 9:44,,,Not Started,0,0,,36491,UK,
Exams Officer UK Webinar - 12 December 2024,11/5/24 12:03,,,Not Started,0,0,,39255,UK,
Exams Officer UK Webinar - November 14 2024,11/5/24 12:02,,,Not Started,0,0,,39255,UK,
Recording of the Exams Officer UK Webinar - 13 February 2025,1/31/25 11:49,,,Not Started,0,0,,20518,UK,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,61159,UK,
GQ Bitesize (UK) Entries  2024/2025,2/3/25 12:48,2/3/25 12:48,,In Progress,0,140.77,0,25366,UK,
Recording of Exams Officer UK Webinar - December 2024,1/9/25 13:25,1/9/25 13:25,,In Progress,0,0.45,,25366,UK,
BTEC Bitesize: Intro to BTEC (2024/25),1/24/25 15:45,,,Not Started,0,0,,28127,UK,
BTEC cohort declaration and VQ Learner Tracker Recording December 24,1/29/25 12:20,1/29/25 12:20,1/29/25 12:20,Completed,100,16.18,,33457,UK,
Centre Declaration of Interest,10/28/24 8:29,10/28/24 8:29,10/28/24 8:29,Completed,100,13.2,,37140,UK,
Exams Officer UK Webinar - 12 December 2024,10/24/24 9:02,,,Not Started,0,0,,53853,UK,
Exams Officer UK Webinar - April 3rd 2025,3/19/25 15:32,,,Not Started,0,0,,25256,UK,
Exams Officer UK Webinar - March 13 2025,2/28/25 7:58,,,Not Started,0,0,,55243,UK,
Recording of the Exams Officer UK Webinar - 13 February 2025,1/10/25 15:22,2/13/25 14:00,2/13/25 15:00,Completed,0,60,,55243,UK,
Exams Officer UK Webinar - May 1st 2025,4/28/25 9:01,,,Not Started,0,0,,27211,UK,
Exams Officer UK Webinar - May 1st 2025,4/30/25 13:33,,,Not Started,0,0,,40517,UK,
VQ Learner Tracker and Claims Webinar,9/2/24 7:27,9/2/24 7:27,9/2/24 7:27,Completed,100,0.1,,40517,UK,
Cohort Declaration walkthrough,1/21/25 11:50,1/21/25 11:50,,In Progress,50,31.12,0,34368,UK,
Exams Officer UK Webinar - April 3rd 2025,4/1/25 8:08,4/3/25 13:51,4/3/25 13:54,Completed,100,14.15,7,34368,UK,
Recording of Exams Officer UK Webinar - January 2025,1/21/25 11:42,1/21/25 11:42,,In Progress,0,6.28,,34368,UK,
Exams Officer UK Webinar - October 17 2024,10/1/24 10:08,,,Not Started,0,0,,57123,UK,
